ff_max,ffm,tmax,tmin,tm,umax,umin,td_m,ewsm,rrr24
4,2.4,5.3,-9.5,-2.1,84,50,-7.74,5.70524,0.0
2,0.8,10.6,-7.3,1.7,87,87,0.96,8.0801,0.0
0,0.0,11.8,-3.4,4.2,82,25,-6.16,8.66063,
0,0.0,12.8,-5.5,3.7,89,30,-5.22,9.14424,
2,0.4,17.4,-2.6,7.4,90,27,-2.7,12.4634,0.0
3,1.0,8.5,1.3,4.9,89,65,1.98,9.1823,0.4
2,0.4,11.3,4.5,7.9,97,75,5.46,10.2013,
4,1.8,11.8,0.4,6.1,96,66,2.62,9.41697,
5,2.4,10.6,-0.3,5.2,100,65,2.38,8.93469,
6,4.6,8.3,0.9,4.6,74,59,-1.24,8.64066,3.0
3,1.4,12.0,-0.4,5.8,81,40,-1.08,10.6306,0.0
3,0.6,15.1,-1.4,6.9,91,32,-1.92,11.6495,0.0
4,1.8,16.0,-1.0,7.5,85,28,-1.56,12.4844,0.0
2,0.8,19.4,0.7,10.1,79,24,-1.2,14.9366,
2,0.8,15.4,1.4,8.4,80,39,3.16,12.2173,0.9
4,1.6,16.1,4.5,10.3,80,45,3.18,13.9534,11.0
12,2.28571,8.6,1.6,5.1,97,79,1.61429,8.09093,17.0
4,0.8,13.8,0.7,7.3,92,48,2.1,10.2216,2.0
6,3.8,13.9,1.3,7.6,88,32,-1.32,12.2092,
6,4.0,17.6,3.5,10.6,60,30,-0.6,14.395,
2,0.8,8.6,3.9,6.3,97,73,3.02,8.59242,15.8
4,0.8,11.5,0.4,5.9,100,59,2.82,9.92266,
5,2.8,7.7,0.9,4.3,80,73,1.26,8.74765,0.9
3,2.0,11.6,2.9,7.3,85,62,3.22,10.5009,
6,3.6,11.9,2.2,7.0,68,57,-0.08,9.99392,1.8
3,1.8,15.6,2.2,8.9,88,47,2.64,12.6373,0.0
5,2.4,17.0,0.7,8.9,97,28,0.7,13.8556,0.0
5,1.8,14.9,2.7,8.8,87,35,1.1,13.2337,0.0
3,1.6,16.5,3.6,10.1,86,44,3.12,13.7628,0.0
4,2.2,18.0,5.4,11.7,86,43,4.86,15.1326,
16,2.28571,15.5,-2.9,6.3,85,30,-2.68571,11.4501,0.0
5,0.875,7.5,-1.0,3.3,93,54,-2.5625,6.67903,4.4
4,0.625,10.6,-5.1,2.8,96,46,-3.2375,6.68654,0.0
3,0.375,6.2,0.0,3.1,99,79,0.2625,6.89857,0.0
12,3.875,8.2,-1.3,3.4,69,45,-5.85,6.91698,0.0
5,0.75,9.9,-6.5,1.7,85,39,-6.075,6.34792,0.0
4,0.75,15.0,-4.1,5.4,66,15,-10.7625,8.21969,
8,2.0,10.1,0.1,5.1,72,31,-6.6375,8.74679,0.0
6,2.14286,9.6,-4.9,2.4,84,36,-5.97143,7.8706,0.0
15,3.42857,13.4,-2.9,5.3,97,29,-3.74286,9.84494,
10,1.75,5.6,-0.2,2.7,97,52,-2.925,6.61194,0.0
3,1.33333,6.6,-3.6,1.5,83,61,-3.95,6.38644,0.0
4,0.625,6.2,-5.0,0.6,97,64,-1.975,6.3401,
10,2.5,12.5,-2.0,5.3,97,31,-2.05,9.4857,
14,1.125,14.9,-2.5,6.2,91,31,-1.5375,9.37006,0.0
12,2.5,13.3,2.3,7.8,92,44,0.3,9.56019,0.8
13,2.625,5.7,-1.6,2.0,97,82,-0.85,6.43896,
5,1.0,3.5,-12.6,-4.6,92,50,-9.05,4.48729,
10,2.375,6.4,-7.4,-0.5,81,43,-9.0375,5.75155,0.0
4,0.625,10.0,-8.9,0.6,84,35,-7.4875,6.30701,0.0
4,0.5,12.6,-3.6,4.5,84,38,-2.775,8.47516,0.0
5,0.875,16.8,0.4,8.6,86,28,-1.45,11.2707,0.0
10,2.375,15.9,1.3,8.6,81,26,-2.0375,11.1586,0.0
12,4.25,12.0,-2.0,5.0,70,45,-2.175,9.53133,0.0
9,1.25,12.3,-3.9,4.2,83,32,-3.7625,8.96062,
8,0.625,14.1,-0.4,6.9,77,32,-4.2125,9.39307,0.0
9,1.625,15.7,-0.5,7.6,64,28,-2.825,11.5778,
13,2.75,15.9,6.1,11.0,59,44,0.6625,12.5414,
15,3.875,14.0,7.0,10.5,97,41,2.725,12.1386,0.0
10,2.57143,12.2,4.3,8.3,89,47,1.05714,9.91109,
6,1.0,14.2,-1.4,6.4,92,46,0.85,9.70509,0.0
7,1.0,9.5,4.0,6.8,100,79,6.2125,10.1449,40.0
4,1.0,11.3,-0.8,5.3,97,55,0.8875,8.697,0.0
5,0.625,13.9,0.2,7.0,99,48,1.725,9.59288,0.0
9,0.875,11.4,3.4,7.4,96,62,3.675,9.68946,
10,2.125,13.8,2.5,8.1,95,44,2.5625,10.2657,0.0
6,0.75,8.0,1.6,4.8,99,85,3.0625,8.17595,
7,1.5,10.4,0.4,5.4,99,46,0.975,8.54064,11.7
9,2.375,8.6,2.6,5.6,81,66,1.25,8.94805,0.0
7,1.375,11.0,3.4,7.2,96,63,3.2375,9.39403,
7,1.125,14.7,1.8,8.3,95,45,2.475,10.6471,0.0
4,1.83333,13.2,2.7,7.9,97,54,2.25,10.562,0.5
7,2.28571,14.2,-1.5,6.3,91,44,0.5,11.0475,
9,1.85714,14.4,-0.3,7.0,91,44,0.7,11.321,0.0
6,1.25,16.1,0.9,8.5,92,45,3.0,11.7422,0.0
13,2.625,18.3,3.4,10.8,88,39,3.125,13.4519,0.0
9,2.25,20.5,6.2,13.4,81,28,1.8125,15.7051,0.0
20,5.875,20.4,6.8,13.6,66,24,-0.1875,16.5036,0.0
14,2.875,17.4,5.4,11.4,66,20,-2.15,13.082,0.0
11,1.375,17.5,1.5,9.5,85,32,-0.1375,12.1891,
12,1.75,17.0,-1.1,7.9,76,25,-3.3125,11.1705,
5,1.57143,17.8,-1.5,8.1,87,29,-1.07143,12.7065,0.0
13,2.0,19.9,1.5,10.7,78,29,0.1875,14.1023,0.0
14,2.875,13.8,5.8,9.8,82,36,0.5875,10.9912,
5,4.16667,14.4,3.3,8.8,70,37,-0.883333,11.4735,0.0
4,0.857143,19.2,3.2,11.2,70,25,-1.14286,12.4617,0.0
6,1.375,22.1,-1.4,10.4,86,23,-0.5375,14.0704,0.0
6,1.375,22.4,1.9,12.1,62,22,-3.3125,14.8845,0.0
5,1.125,23.0,3.1,13.1,68,21,-0.775,15.387,0.0
11,2.0,25.2,3.4,14.3,76,21,0.4875,18.5827,0.0
17,5.375,23.7,13.7,18.7,54,17,-3.1125,20.9928,0.0
8,1.625,24.0,7.6,15.8,58,24,3.7375,19.9496,
18,2.875,27.6,7.1,17.4,75,19,1.15,22.3392,0.0
18,2.75,19.1,14.4,16.8,79,23,4.9125,15.9218,
9,1.75,19.7,2.4,11.1,88,34,1.2,13.6216,
3,0.875,10.5,-2.6,4.0,99,52,0.0791667,7.5469,
2,0.625,8.2,-2.6,2.8,96,59,-1.21667,7.02698,0.0
2,0.458333,9.4,-3.3,3.0,98,62,-0.320833,7.26076,0.0
8,3.08333,7.8,2.7,5.3,85,42,-3.45417,7.74005,0.0
4,0.791667,6.3,-4.2,1.1,80,33,-7.77917,6.12885,0.0
5,1.5,11.1,1.4,6.3,81,40,-1.6875,8.98937,0.3
7,2.75,13.9,0.1,7.0,87,52,2.85,11.0348,0.2
2,0.458333,-0.6,-10.9,-5.8,93,66,-8.6125,3.98327,2.3
1,0.291667,1.3,-10.9,-4.8,93,61,-7.6625,4.33057,0.8
7,2.79167,6.3,2.2,4.3,97,64,-0.641667,8.0621,13.0
2,0.608696,9.0,-2.7,3.2,96,63,-0.634783,7.24789,0.0
7,1.58333,10.8,-1.9,4.5,87,45,-1.65417,8.4404,0.0
6,3.79167,3.4,-3.1,0.2,86,60,-5.32083,5.85692,0.0
8,3.0,6.8,-4.2,1.3,78,33,-7.76364,6.78771,0.0
3,1.33333,10.4,-6.6,1.9,79,38,-6.59167,6.82409,0.0
6,2.125,7.0,-1.8,2.6,99,50,-2.71667,7.17434,
2,0.541667,10.2,-5.2,2.5,94,48,-2.95417,7.2707,
7,2.0,7.8,-0.8,3.5,84,51,-1.75833,7.82978,0.0
4,1.20833,5.9,-0.8,2.5,90,51,-2.31667,7.07848,
3,1.0,9.5,-2.4,3.5,79,40,-5.265,7.73073,0.0
5,1.66667,11.2,-3.5,3.8,89,42,-2.475,8.42333,0.0
3,0.875,11.1,-3.0,4.1,95,49,-1.62083,7.79916,0.1
6,3.54167,6.1,2.4,4.3,97,76,0.608333,7.55818,
6,2.0,6.2,0.3,3.3,97,58,-1.42917,6.90218,2.8
5,1.54167,7.7,-2.3,2.7,90,53,-2.77083,7.04249,
3,0.875,10.2,-4.9,2.6,94,44,-2.58333,7.77266,0.0
3,0.833333,10.9,-2.3,4.3,94,39,-2.31667,8.65554,0.0
3,1.08333,13.0,-2.0,5.5,86,31,-3.08333,9.15391,0.0
6,1.58333,11.8,-3.2,4.3,86,37,-2.80833,8.91695,
9,4.30435,7.5,-0.1,3.7,89,58,-1.79565,7.313,0.7
4,1.04348,12.9,-4.4,4.3,95,41,-2.43913,8.76924,0.0
2,0.5,15.3,-4.1,5.6,90,33,-2.66667,9.81813,0.0
6,2.41667,14.6,2.0,8.3,76,33,-1.1125,10.6676,0.0
6,1.79167,11.3,-1.9,4.7,94,42,-1.37083,8.77139,0.0
6,2.54167,10.8,-0.8,5.0,78,38,-3.70833,8.76754,0.0
5,2.58333,12.3,-1.0,5.7,71,34,-4.1,9.2587,
4,1.5,14.5,1.0,7.8,73,34,-2.3375,10.2264,0.0
6,2.04167,15.1,-1.4,6.9,89,27,-0.791667,11.3919,0.0
5,1.91667,8.9,1.6,5.3,97,66,2.38333,8.61903,3.2
8,1.16667,14.5,1.2,7.8,94,52,4.29167,10.9618,0.9
6,1.15789,8.7,-4.7,2.0,87,51,-3.34583,7.30785,
5,0.823529,8.3,-4.6,1.9,83,51,-1.60417,7.86362,0.0
8,1.90909,8.5,-0.7,3.9,90,66,-0.616667,7.55027,
11,2.0,11.5,-7.3,2.1,95,25,-3.975,7.61413,0.1
9,1.6,5.4,-7.3,-1.0,98,60,-2.30833,6.71382,
8,2.59091,4.5,-4.3,0.1,87,59,-4.6375,6.07173,
14,4.08333,3.2,-4.4,-0.6,78,62,-5.15,6.03015,0.0
8,1.5,5.7,-4.1,0.8,82,41,-6.12083,6.1597,0.0
9,2.05,5.0,-5.0,0.0,75,50,-4.17917,6.89259,
7,1.5,10.3,-8.4,1.0,74,35,-2.60833,8.79474,0.0
7,2.0,13.5,0.9,7.2,84,31,-1.5875,10.1156,0.1
18,1.33333,8.6,2.2,5.4,92,59,1.17273,7.93281,0.8
8,1.52941,6.4,1.7,4.1,95,77,1.00833,7.65553,3.8
4,1.22222,7.6,-3.8,1.9,99,59,-1.17917,6.89149,0.5
4,0.705882,5.7,-3.8,0.9,96,76,-0.216667,6.81575,
6,0.785714,2.8,-1.8,0.5,99,80,-1.27083,6.08422,2.7
5,1.3,7.5,-7.2,0.2,99,70,-3.5625,5.48723,12.0
8,1.71429,4.8,-5.2,-0.2,91,60,-5.42917,5.72842,0.0
3,0.625,2.4,-8.9,-3.2,94,67,-6.625,4.769,
4,0.533333,5.0,-9.2,-2.1,95,64,-5.6,4.95159,0.0
4,0.384615,6.6,-9.3,-1.4,98,61,-4.18333,5.52768,
3,0.916667,7.5,-9.4,-0.9,97,62,-2.07917,6.78745,0.0
6,1.38462,9.0,-3.3,2.8,80,44,-2.71667,7.87427,0.0
12,2.66667,9.5,-4.3,2.6,92,44,-4.43333,7.89539,0.0
16,3.83333,4.8,-4.5,0.2,96,44,-5.68333,6.62776,2.0
7,1.25,3.8,-3.6,0.1,74,45,-6.90833,5.85327,
6,1.35,11.1,-5.9,2.6,85,44,-1.74167,8.57657,0.0
11,1.86667,14.6,-3.6,5.5,91,27,-3.30417,9.26637,0.0
15,3.77273,15.3,-3.8,5.8,82,44,-0.483333,11.1347,
22,6.79167,12.7,-1.3,5.7,58,35,-2.42083,10.6689,
14,3.83333,6.4,1.6,4.0,72,52,-4.51667,6.8704,
12,2.90909,0.3,-3.3,-1.5,93,59,-7.33333,4.75852,
9,2.35294,-2.9,-10.4,-6.6,78,44,-15.8,2.99332,0.0
7,1.53333,-0.4,-15.1,-7.8,80,44,-13.7333,3.82513,0.0
10,2.68421,4.3,-15.0,-5.3,70,59,-5.10417,6.4884,0.0
15,4.63636,11.6,-4.6,3.5,73,26,-6.43333,8.30307,0.0
15,1.5,16.1,-4.4,5.9,88,19,-3.00833,10.1521,0.0
9,3.375,13.7,0.5,7.1,86,53,1.04583,9.26303,0.0
7,1.4,11.5,-0.5,5.5,94,68,4.30417,10.2696,1.1
8,1.13333,9.4,3.4,6.4,97,87,2.22917,7.66126,23.7
6,1.23077,12.2,0.4,6.3,98,56,2.675,9.42719,0.0
13,2.31818,16.6,4.4,10.5,96,47,4.67083,12.3921,
7,1.8,9.6,6.6,8.1,98,89,5.21667,9.45548,53.0
8,1.35,13.5,0.0,6.8,90,49,0.279167,9.26347,0.0
10,1.94118,17.4,-1.7,7.8,94,29,-0.6875,11.5862,0.0
18,4.3125,17.2,-1.4,7.9,96,30,0.245833,11.7948,0.3
9,2.45,9.1,-1.0,4.1,95,50,-1.05417,8.47281,
8,2.14286,14.1,-1.0,6.6,71,47,-0.333333,10.356,0.0
4,1.05882,19.2,-1.4,8.9,91,29,-0.75,12.0408,
10,2.21053,13.9,-1.6,6.1,78,55,2.5375,11.1649,1.0
12,3.68182,14.5,5.2,9.9,79,25,-1.6625,11.6168,1.1
9,2.36364,16.2,1.1,8.7,65,21,-5.70833,11.2422,0.0
4,1.0,17.2,-3.1,7.1,74,21,-5.875,10.4941,
3,0.8,19.1,-3.4,7.9,78,20,-3.31667,12.016,
5,1.38889,20.5,-2.3,9.1,78,25,-0.7,13.7286,0.0
11,2.95455,14.8,4.3,9.6,92,30,2.38333,11.9837,3.0
4,0.8,12.0,6.2,9.1,94,74,5.24167,10.3112,0.7
8,1.9,16.1,2.7,9.4,95,49,4.17083,12.2905,0.0
11,2.19048,18.5,2.1,10.3,92,43,3.38333,13.5882,0.0
10,2.1,15.2,0.2,7.7,78,28,-1.8875,11.4626,0.0
11,1.52381,12.0,0.0,6.0,92,61,3.2375,10.1014,1.7
11,2.42105,8.3,2.4,5.4,97,75,2.14583,8.13529,
14,3.91667,9.5,0.4,4.9,87,61,0.85,9.12895,2.1
10,2.81818,13.5,2.1,7.8,80,47,1.0625,10.6979,
6,1.22222,17.2,0.5,8.9,91,39,1.78333,12.0145,0.0
11,2.36364,13.6,1.0,7.3,97,55,4.52083,10.5869,4.3
10,1.5,15.7,2.5,9.1,98,51,4.65,11.3434,
3,0.615385,10.4,4.2,7.3,96,75,5.95417,10.6244,0.9
11,3.11111,14.6,5.5,10.1,99,45,3.42917,11.6717,0.1
18,4.0,13.4,-0.4,6.5,92,47,0.991667,9.80371,0.7
8,1.625,7.9,-3.3,2.3,94,60,-0.220833,7.67822,0.5
3,0.791667,5.2,2.1,3.6,98,88,2.31667,7.61852,
9,2.04167,7.9,-0.5,3.7,95,49,-3.81667,7.15574,0.2
3,0.958333,9.8,-5.4,2.2,87,36,-5.41667,6.75925,0.0
2,0.708333,14.7,-4.8,4.9,92,37,-2.85,7.95017,0.0
4,0.75,13.8,-5.1,4.4,91,29,-4.44583,8.04164,0.0
5,1.47826,10.5,-4.9,2.8,85,36,-3.76522,8.85598,0.0
9,2.375,11.0,5.6,8.3,86,61,3.10417,10.1117,0.8
9,1.95833,13.8,1.7,7.8,95,42,1.35833,9.91626,0.0
16,4.29167,14.0,5.0,9.5,91,46,2.75,10.6166,
15,4.0,6.0,2.4,4.2,85,65,-1.0875,7.69027,
12,4.45833,4.8,0.0,2.4,85,61,-2.225,6.97297,0.1
11,3.54167,4.8,-0.1,2.4,98,70,-0.870833,6.38217,
5,1.25,1.8,-12.8,-5.5,95,32,-13.7875,3.97655,3.0
9,1.58333,4.9,-14.5,-4.8,84,51,-10.25,4.96523,
14,4.5,0.9,-5.2,-2.1,97,53,-6.45833,5.03691,0.6
7,1.16667,-1.2,-14.3,-7.8,78,50,-13.3167,3.51875,
3,0.791667,2.7,-14.7,-6.0,88,49,-10.5667,3.95657,
3,0.75,7.6,-12.0,-2.2,90,41,-8.1625,5.46987,0.0
9,1.79167,9.3,-5.1,2.1,80,36,-4.47083,7.5014,0.0
7,1.625,11.0,-3.2,3.9,91,43,-2.70833,7.84982,0.0
11,1.91667,11.2,-4.5,3.3,90,39,-3.29167,8.95397,0.0
17,4.375,6.8,1.3,4.1,77,52,-3.90833,7.56658,0.0
9,2.16667,5.5,-3.2,1.1,78,40,-7.07917,6.05349,0.0
7,1.20833,5.9,-6.4,-0.3,80,36,-7.69583,5.98647,0.0
9,1.79167,6.2,-7.9,-0.9,85,35,-7.92083,6.06238,0.0
8,1.25,6.8,-7.4,-0.3,86,36,-6.125,6.92947,
3,0.875,3.1,-6.0,-1.5,95,78,-4.10417,5.14717,0.0
3,0.916667,1.9,-6.6,-2.3,97,85,-3.2125,5.33219,0.0
16,3.33333,13.7,-1.1,6.3,95,47,0.775,9.48186,
11,2.75,6.2,0.2,3.2,91,58,-1.43333,7.05131,4.0
7,1.83333,7.1,-2.2,2.4,86,52,-3.7,6.87019,0.0
4,1.16667,10.1,-6.7,1.7,86,36,-5.875,7.12295,
9,1.66667,7.7,1.4,4.5,98,74,2.1625,8.10692,
12,3.79167,6.1,0.5,3.3,95,76,0.3875,7.74382,6.0
8,2.0,10.0,-2.2,3.9,89,64,-1.43333,7.42803,0.0
8,2.58333,8.6,-4.2,2.2,88,63,-2.19167,7.10403,
7,1.70833,12.9,-4.1,4.4,95,37,-2.02917,9.12289,
8,2.08333,12.1,-2.3,4.9,77,39,-1.87917,9.43721,0.0
7,2.43478,11.2,1.4,6.3,83,36,-0.930435,8.98254,0.0
8,1.625,11.3,-1.0,5.2,91,37,-2.3375,8.40933,0.0
8,1.16667,7.8,-0.8,3.5,98,63,-0.1375,7.24859,6.0
9,1.91667,9.7,0.4,5.0,98,66,2.30833,8.61755,11.0
7,1.70833,10.8,0.0,5.4,93,59,0.5375,8.45492,0.0
4,1.25,16.8,-0.5,8.1,94,36,0.125,10.8407,0.0
5,1.21739,18.6,-0.5,9.1,91,27,-0.847826,11.4881,0.0
8,2.5,15.0,0.8,7.9,80,56,3.56667,11.7093,
12,3.20833,12.4,6.3,9.4,89,49,1.23333,10.621,0.0
6,1.5,14.5,-2.4,6.1,96,28,-1.95,9.69367,0.0
4,1.33333,15.7,-2.8,6.4,86,30,-2.52917,10.188,0.0
8,1.79167,15.0,2.3,8.6,79,40,0.945833,11.1561,0.0
17,3.28571,17.9,2.8,10.3,96,33,3.75238,12.0478,2.0
17,6.83333,9.8,5.2,7.5,87,35,-1.7125,9.71694,8.0
12,2.58333,10.5,-3.1,3.7,78,27,-5.025,8.74241,0.0
12,3.375,11.8,1.1,6.5,91,36,-1.15417,10.0075,
9,2.5,8.8,3.7,6.3,97,76,3.65,9.2577,3.5
13,2.21429,14.2,1.1,7.7,98,44,1.07857,9.30518,2.1
9,3.5,14.3,-0.6,6.8,93,36,0.30625,10.9055,0.0
14,4.78947,19.0,9.2,14.1,64,35,3.61053,16.828,
16,5.75,17.5,9.2,13.4,81,35,1.69583,13.7478,0.9
11,3.625,10.3,2.7,6.5,53,30,-5.90417,9.61004,
13,4.45833,17.0,1.0,9.0,62,18,-4.11667,12.4629,
15,3.58333,17.1,3.1,10.1,66,22,-1.94167,12.7855,0.0
13,3.66667,14.9,-0.2,7.3,70,29,-3.20833,11.2041,
14,5.08333,8.4,-0.2,4.1,72,23,-8.8,7.79134,0.0
10,2.25,8.4,-4.6,1.9,59,24,-11.4375,7.54295,
14,6.20833,15.9,5.0,10.4,60,27,-3.6,12.5868,0.0
13,3.04167,18.6,1.3,9.9,72,25,-0.870833,13.7008,0.0
10,1.41667,10.0,4.9,7.4,98,73,4.11667,9.61589,
11,2.20833,18.7,-1.2,8.8,99,33,0.641667,13.2106,
13,4.25,11.4,-2.0,4.7,73,27,-5.99167,9.05698,0.0
12,2.43478,10.3,-1.2,4.6,96,35,-3.16087,8.14178,0.9
13,3.25,12.0,-4.2,3.9,88,27,-5.54583,8.9061,0.0
7,1.20833,19.4,-3.9,7.8,75,20,-5.97083,11.725,0.0
8,1.58333,21.7,-2.7,9.5,70,16,-5.425,15.3358,0.0
17,2.04167,21.0,4.6,12.8,68,28,1.3125,16.2038,0.0
9,2.4,6.4,-7.2,-0.4,86,56,-4.72,6.65459,0.0
7,0.8,2.5,-6.7,-2.1,80,66,-5.52,5.68794,0.01
8,2.0,5.5,-0.8,2.3,98,83,0.7,7.02447,3.1
7,1.2,7.6,0.9,4.3,97,64,0.94,8.04582,2.01
7,1.8,7.6,-2.5,2.5,88,54,-2.24,7.70331,
9,2.8,6.0,0.7,3.3,80,59,-1.68,7.86972,0.0
7,1.0,4.4,-0.1,2.2,86,75,-1.24,7.20742,0.01
15,7.2,1.6,-1.9,-0.1,77,61,-5.86,5.80724,
10,3.8,4.8,-2.6,1.1,70,51,-5.72,6.68738,0.0
8,2.4,6.0,-4.5,0.8,69,45,-6.34,6.7496,0.0
3,0.6,6.2,-8.6,-1.2,90,46,-6.72,6.05976,0.0
4,1.0,1.5,-3.2,-0.9,95,76,-3.26,5.72273,
7,1.2,5.6,-2.4,1.6,99,76,-1.14,6.30879,23.0
9,3.2,-0.4,-8.1,-4.3,91,83,-5.32,4.77746,
7,2.0,0.3,-6.1,-2.9,97,72,-5.42,4.89837,0.0
6,2.0,-0.7,-4.5,-2.6,90,77,-5.34,4.89872,0.0
6,2.0,-2.5,-11.7,-7.1,92,70,-10.58,3.41573,
5,1.4,-3.4,-19.0,-11.2,84,67,-14.72,2.69447,0.0
10,1.8,-3.7,-19.7,-11.7,83,66,-16.06,2.47438,
9,2.4,-6.2,-17.6,-11.9,86,66,-13.34,3.02621,
9,2.8,-2.3,-15.9,-9.1,87,65,-11.1,3.62603,0.0
10,3.6,0.6,-7.5,-3.5,86,68,-5.9,5.3208,0.0
8,3.4,1.5,-3.9,-1.2,82,70,-5.44,5.4241,0.0
7,2.6,1.9,-4.0,-1.0,86,71,-4.72,5.45198,
5,0.8,2.4,-9.0,-3.3,92,66,-6.16,5.00193,0.1
4,1.2,5.3,-4.0,0.7,96,71,-1.8,6.46804,
7,1.6,7.1,-1.4,2.8,93,67,0.14,7.95489,0.1
8,2.2,6.0,0.5,3.3,97,79,2.08,7.79325,20.0
4,1.8,7.3,-4.5,1.4,98,62,-0.6,7.6839,21.0
16,3.6,7.1,-0.8,3.1,95,52,-1.54,7.67678,
9,3.4,4.9,-2.2,1.4,80,54,-5.02,6.7676,0.3
8,1.8,8.3,-6.6,0.9,85,41,-5.84,6.57994,0.0
11,3.6,8.6,-5.1,1.8,84,44,-4.82,7.87176,
9,2.2,9.8,-1.3,4.3,90,45,-2.1,8.80943,0.0
13,4.2,8.6,1.9,5.3,92,60,0.46,8.44564,1.6
8,1.8,3.1,-0.6,1.3,96,86,-1.06,6.30989,
11,4.4,-3.0,-12.6,-7.8,83,63,-10.14,4.08782,0.0
8,1.0,0.9,-6.9,-3.0,95,82,-4.12,5.04322,6.0
3,2.0,3.8,-9.7,-2.9,86,69,-6.94,4.9667,0.0
3,0.6,6.7,-5.2,0.8,96,70,-3.1,5.79749,2.0
3,1.4,5.8,-9.7,-1.9,81,54,-6.82,5.89942,0.0
1,1.0,11.1,-5.3,2.9,70,31,-5.68,8.48472,0.0
5,2.8,11.2,-4.2,3.5,82,28,-5.38,9.31914,
6,3.4,13.1,-0.2,6.5,68,37,-2.12,10.9283,0.0
11,3.2,14.7,-1.7,6.5,82,33,-1.58,11.812,0.0
8,2.2,14.2,-0.3,6.9,80,31,-2.04,11.3982,0.0
8,1.4,15.7,0.1,7.9,88,29,-0.54,12.6257,
9,1.0,16.9,-1.6,7.6,86,33,-0.04,13.0574,0.0
7,2.6,17.0,-0.5,8.3,80,29,-0.32,13.4914,
8,2.0,17.3,-1.4,7.9,74,28,-2.92,13.5683,
7,1.6,18.0,-0.7,8.6,81,22,-2.78,14.0337,
16,5.2,18.6,2.1,10.4,71,31,1.04,15.2941,0.0
10,2.4,19.1,1.5,10.3,77,22,-1.02,16.274,0.0
20,5.6,21.5,0.3,10.9,79,28,0.42,18.1054,0.0
12,3.2,15.3,7.4,11.4,95,65,7.54,13.5679,15.0
10,1.6,11.7,6.0,8.9,94,74,6.36,11.2532,
13,3.4,13.1,7.8,10.5,92,66,6.8,12.9043,
12,3.6,14.5,6.3,10.4,90,39,3.36,12.8959,
5,1.6,15.9,-0.1,7.9,91,40,1.98,12.5451,0.0
4,1.2,20.9,-0.1,10.4,93,27,0.34,15.2637,
7,1.0,11.6,6.5,9.1,95,78,6.9,11.6704,5.9
5,1.6,18.3,7.3,12.8,94,49,8.06,16.0488,0.0
9,1.4,21.3,4.5,12.9,94,44,6.56,17.0392,0.01
12,5.0,13.5,3.3,8.4,95,49,2.74,11.9274,
5,1.6,18.8,-0.4,9.2,93,33,1.14,14.0653,0.0
12,2.2,17.2,1.0,9.1,78,44,3.36,13.2525,
12,3.4,10.6,3.9,7.3,82,62,2.68,10.7763,0.3
11,2.6,6.8,3.7,5.3,88,79,2.44,8.69369,
11,2.8,12.2,3.4,7.8,74,52,1.66,11.6889,
4,1.4,17.3,1.0,9.1,90,39,2.96,13.8453,
6,1.2,20.0,2.2,11.1,92,35,3.22,16.1241,0.0
8,1.6,13.7,3.6,8.6,92,58,5.28,11.9253,
9,2.6,13.4,6.3,9.9,99,66,6.72,12.6423,
9,2.0,18.1,7.5,12.8,94,54,6.84,14.1203,
9,2.8,18.2,1.9,10.1,97,33,3.5,14.5079,
13,4.6,19.3,2.4,10.8,86,26,1.52,16.3802,
17,3.6,15.2,4.9,10.1,90,53,3.62,12.3579,6.1
6,1.15385,13.0,1.4,7.2,88,48,2.21538,11.1073,
3,0.615385,12.7,-3.5,4.6,97,42,0.0461538,9.92205,0.0
6,1.53846,11.8,-4.9,3.5,94,43,-2.43846,9.06694,0.0
10,2.38462,11.7,-5.6,3.0,93,40,-2.47692,9.28471,
9,3.53846,10.8,3.2,7.0,76,35,-2.1,10.542,
7,1.0,11.0,-7.0,2.0,79,27,-6.96154,8.59844,
3,0.769231,12.3,-6.8,2.8,77,29,-6.72308,9.356,
9,2.38462,16.1,-4.4,5.9,51,11,-13.0692,11.9264,
14,4.84615,15.2,2.1,8.6,39,12,-13.8462,13.1331,0.0
12,3.30769,9.0,0.3,4.7,97,56,1.30769,8.65543,8.9
12,4.84615,6.7,3.2,4.9,89,68,1.25385,9.00681,1.1
13,4.69231,11.6,3.2,7.4,71,50,1.4,11.1004,0.0
10,4.07692,11.9,4.6,8.3,96,49,2.87692,11.1098,
4,1.23077,10.2,-3.5,3.3,93,41,-2.49231,8.89954,0.0
5,1.69231,13.2,-2.0,5.6,90,38,-1.4,10.5515,0.0
4,0.923077,13.9,-3.8,5.0,84,36,-2.44615,10.1075,0.0
5,1.30769,13.0,-3.9,4.6,89,37,-1.88462,10.3234,
10,1.61538,14.0,-2.5,5.8,88,34,-1.7,11.0133,0.0
11,4.53846,9.3,1.3,5.3,93,56,1.04615,9.71299,
8,2.46154,10.9,-0.3,5.3,85,48,-0.107692,10.026,0.0
10,2.84615,6.2,2.6,4.4,95,78,2.28462,8.12575,
9,3.23077,5.7,-1.8,1.9,99,58,-1.86923,7.36893,
8,1.92308,9.0,-5.0,2.0,92,50,-2.64615,8.06126,
7,1.30769,9.2,-1.1,4.0,95,60,0.323077,8.23865,
11,3.07692,6.2,-1.5,2.3,91,62,-1.28462,7.73733,0.0
9,2.07692,1.1,-1.4,-0.1,95,80,-1.8,6.01925,5.7
